City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Aksu,CN,41.1231,80.2644,67.35,22,83,3.83,broken clouds
81,Catamarca,AR,-28.4696,-65.7852,81.77,33,0,5.99,clear sky
82,Annan,GB,54.9884,-3.2565,64.18,95,100,8.19,overcast clouds
83,Torbay,CA,47.6666,-52.7314,52.29,74,40,16.11,scattered clouds
84,Vieux Fort,LC,13.7167,-60.95,87.15,70,40,13.8,scattered clouds
85,Chuy,UY,-33.6971,-53.4616,59.99,81,0,10.45,clear sky
86,Naifaru,MV,5.4444,73.3657,81.28,75,100,14.97,overcast clouds
87,Kavaratti,IN,10.5669,72.642,81.81,78,92,13.58,overcast clouds
88,Bengkulu,ID,-3.8004,102.2655,75.27,92,100,6.67,overcast clouds
89,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,70,99,4.5,overcast clouds
90,Vasterhaninge,SE,59.1167,18.1,48.61,84,100,12.26,overcast clouds
91,Port Elizabeth,ZA,-33.918,25.5701,56.1,94,20,1.14,few clouds
92,College,US,64.8569,-147.8028,34.29,89,90,8.05,light snow
93,Eenhana,NA,-17.4667,16.3333,82.15,15,1,7.38,clear sky
94,Erenhot,CN,43.6475,111.9767,63.81,68,0,8.37,clear sky
95,Upernavik,GL,72.7868,-56.1549,25.39,87,85,4.18,overcast clouds
96,Poronaysk,RU,49.2167,143.1167,42.78,83,0,5.57,clear sky
97,Provideniya,RU,64.3833,-173.3,33.98,90,100,18.03,light rain
98,Biu,NG,10.6129,12.1946,72.48,74,54,2.59,broken clouds
99,Necochea,AR,-38.5473,-58.7368,71.04,68,69,9.46,broken clouds
100,Hasaki,JP,35.7333,140.8333,70.29,74,100,16.78,overcast clouds
101,Geraldton,AU,-28.7667,114.6,50.41,81,7,5.75,clear sky
102,Mahebourg,MU,-20.4081,57.7,72.25,83,40,12.66,scattered clouds
103,East London,ZA,-33.0153,27.9116,62.85,73,14,4.68,few clouds
104,Ketchikan,US,55.3422,-131.6461,55.87,94,90,12.66,light rain
105,Mananjary,MG,-21.2167,48.3333,68.99,87,46,3.83,light rain
106,Tiksi,RU,71.6872,128.8694,32.49,81,97,14.79,overcast clouds
107,Lebu,CL,-37.6167,-73.65,58.03,76,4,9.15,clear sky
108,Tolaga Bay,NZ,-38.3667,178.3,56.93,59,0,2.35,clear sky
109,Kibala,TD,9.1104,18.3463,78.75,94,20,0.0,light rain
110,Mar Del Plata,AR,-38.0023,-57.5575,62.01,57,40,17.0,scattered clouds
111,Poum,NC,-20.2333,164.0167,70.61,69,94,12.35,overcast clouds
112,Talnakh,RU,69.4865,88.3972,32.47,71,0,2.01,clear sky
113,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,60,0,20.71,clear sky
114,Skjervoy,NO,70.0311,20.9714,48.38,79,98,18.48,overcast clouds
