City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Buala,SB,80.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
524,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
525,Korampallam,IN,84.56,overcast clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
527,Padre Bernardo,BR,90.0,overcast clouds,-15.35,-48.5,
529,Labuhan,ID,77.81,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
534,Guaranesia,BR,88.18,overcast clouds,-21.2992,-46.8025,Regis Hotel
535,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
536,Luganville,VU,77.29,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
540,Qui Nhon,VN,77.14,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
541,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
546,Nileshwar,IN,78.21,broken clouds,12.25,75.1,Neeleshwar Hermitage
550,Avera,US,78.75,clear sky,33.194,-82.5271,
551,Mangaratiba,BR,79.93,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
561,Acarau,BR,82.08,overcast clouds,-2.8856,-40.12,castelo pizzaria
565,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
569,Hit,IQ,81.9,clear sky,33.6416,42.8251,صالون زيرو
577,Bandar-E Lengeh,IR,88.79,clear sky,26.5579,54.8807,کافی نت پارس
579,Santa Rosa,PH,83.91,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
581,Camocim,BR,83.21,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
582,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
599,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
600,Kirakira,SB,79.3,scattered clouds,-10.4544,161.9205,SanBiz Lodge
603,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
604,Tamandare,BR,77.59,few clouds,-8.7597,-35.1047,Pousada 100 Passos
605,Pandan,PH,80.91,scattered clouds,14.0453,124.1694,Bonifacio Lodge
614,Santiago,CL,89.04,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
616,Dingle,PH,76.24,clear sky,10.9995,122.6711,SEGAYA PROPERTY
623,Coahuayana,MX,88.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
632,Puerto Princesa,PH,79.39,few clouds,9.7392,118.7353,Deep Forest Garden Inn
633,Puerto Asis,CO,82.96,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
634,Palasa,IN,78.58,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
639,Cozumel,MX,88.0,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
648,Ferkessedougou,CI,78.64,scattered clouds,9.6,-5.2,Hotel Chateau
650,Tabou,CI,77.74,light rain,4.423,-7.3528,hotêl doufoulougou
651,Weligama,LK,78.49,overcast clouds,5.9667,80.4167,Weligama Bay Resort
652,Pachino,IT,75.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
658,Diffa,NE,87.82,scattered clouds,13.3154,12.6113,ProDAF/Diffa
662,Riyadh,SA,89.74,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
666,Jacobina,BR,80.22,scattered clouds,-11.1806,-40.5183,HOSTEL JACOBINA
668,Havelock,US,78.78,scattered clouds,34.8791,-76.9013,Sherwood Motel
669,Lorengau,PG,81.41,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
672,Namwala,ZM,76.12,clear sky,-15.7504,26.4384,Corner Point Lodge
676,Saint Simons,US,81.3,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
677,Nashville,US,76.51,clear sky,36.1659,-86.7844,Sheraton Grand Nashville Downtown
678,Les Cayes,HT,87.22,broken clouds,18.2,-73.75,Villa Orphee
683,Matara,LK,78.51,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
685,Arawa,PG,76.21,broken clouds,-6.2132,155.5367,Coastline Guest House
693,Takoradi,GH,77.05,light rain,4.8845,-1.7554,Raybow International Hotel
696,San Lawrenz,MT,78.85,clear sky,36.0553,14.204,San Andrea Hotel
697,La Libertad,EC,76.66,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
699,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
